Q,Region,CBA,CBT
2000-03-31,Cuyo,6150.111251619979,16140.693081101388
2000-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2000-03-31,Noreste,6140.8665921384845,14174.984050649698
2000-03-31,Noroeste,5985.345187523013,13694.94487823484
2000-03-31,Pampeana,6837.050703291003,16847.7848856848
2000-03-31,Patagónica,7088.929189493426,19831.61588979393
2000-06-30,Cuyo,6150.111251619979,16140.693081101388
2000-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2000-06-30,Noreste,6140.8665921384845,14174.984050649698
2000-06-30,Noroeste,5985.345187523013,13694.94487823484
2000-06-30,Pampeana,6837.050703291003,16847.7848856848
2000-06-30,Patagónica,7088.929189493426,19831.61588979393
2000-09-30,Cuyo,6150.111251619979,16140.693081101388
2000-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2000-09-30,Noreste,6140.8665921384845,14174.984050649698
2000-09-30,Noroeste,5985.345187523013,13694.94487823484
2000-09-30,Pampeana,6837.050703291003,16847.7848856848
2000-09-30,Patagónica,7088.929189493426,19831.61588979393
2000-12-31,Cuyo,6150.111251619979,16140.693081101388
2000-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2000-12-31,Noreste,6140.8665921384845,14174.984050649698
2000-12-31,Noroeste,5985.345187523013,13694.94487823484
2000-12-31,Pampeana,6837.050703291003,16847.7848856848
2000-12-31,Patagónica,7088.929189493426,19831.61588979393
2001-03-31,Cuyo,6150.111251619979,16140.693081101388
2001-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2001-03-31,Noreste,6140.8665921384845,14174.984050649698
2001-03-31,Noroeste,5985.345187523013,13694.94487823484
2001-03-31,Pampeana,6837.050703291003,16847.7848856848
2001-03-31,Patagónica,7088.929189493426,19831.61588979393
2001-06-30,Cuyo,6150.111251619979,16140.693081101388
2001-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2001-06-30,Noreste,6140.8665921384845,14174.984050649698
2001-06-30,Noroeste,5985.345187523013,13694.94487823484
2001-06-30,Pampeana,6837.050703291003,16847.7848856848
2001-06-30,Patagónica,7088.929189493426,19831.61588979393
2001-09-30,Cuyo,6150.111251619979,16140.693081101388
2001-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2001-09-30,Noreste,6140.8665921384845,14174.984050649698
2001-09-30,Noroeste,5985.345187523013,13694.94487823484
2001-09-30,Pampeana,6837.050703291003,16847.7848856848
2001-09-30,Patagónica,7088.929189493426,19831.61588979393
2001-12-31,Cuyo,6150.111251619979,16140.693081101388
2001-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2001-12-31,Noreste,6140.8665921384845,14174.984050649698
2001-12-31,Noroeste,5985.345187523013,13694.94487823484
2001-12-31,Pampeana,6837.050703291003,16847.7848856848
2001-12-31,Patagónica,7088.929189493426,19831.61588979393
2002-03-31,Cuyo,6150.111251619979,16140.693081101388
2002-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2002-03-31,Noreste,6140.8665921384845,14174.984050649698
2002-03-31,Noroeste,5985.345187523013,13694.94487823484
2002-03-31,Pampeana,6837.050703291003,16847.7848856848
2002-03-31,Patagónica,7088.929189493426,19831.61588979393
2002-06-30,Cuyo,6150.111251619979,16140.693081101388
2002-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2002-06-30,Noreste,6140.8665921384845,14174.984050649698
2002-06-30,Noroeste,5985.345187523013,13694.94487823484
2002-06-30,Pampeana,6837.050703291003,16847.7848856848
2002-06-30,Patagónica,7088.929189493426,19831.61588979393
2002-09-30,Cuyo,6150.111251619979,16140.693081101388
2002-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2002-09-30,Noreste,6140.8665921384845,14174.984050649698
2002-09-30,Noroeste,5985.345187523013,13694.94487823484
2002-09-30,Pampeana,6837.050703291003,16847.7848856848
2002-09-30,Patagónica,7088.929189493426,19831.61588979393
2002-12-31,Cuyo,6150.111251619979,16140.693081101388
2002-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2002-12-31,Noreste,6140.8665921384845,14174.984050649698
2002-12-31,Noroeste,5985.345187523013,13694.94487823484
2002-12-31,Pampeana,6837.050703291003,16847.7848856848
2002-12-31,Patagónica,7088.929189493426,19831.61588979393
2003-03-31,Cuyo,6150.111251619979,16140.693081101388
2003-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2003-03-31,Noreste,6140.8665921384845,14174.984050649698
2003-03-31,Noroeste,5985.345187523013,13694.94487823484
2003-03-31,Pampeana,6837.050703291003,16847.7848856848
2003-03-31,Patagónica,7088.929189493426,19831.61588979393
2003-06-30,Cuyo,6150.111251619979,16140.693081101388
2003-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2003-06-30,Noreste,6140.8665921384845,14174.984050649698
2003-06-30,Noroeste,5985.345187523013,13694.94487823484
2003-06-30,Pampeana,6837.050703291003,16847.7848856848
2003-06-30,Patagónica,7088.929189493426,19831.61588979393
2003-09-30,Cuyo,6150.111251619979,16140.693081101388
2003-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2003-09-30,Noreste,6140.8665921384845,14174.984050649698
2003-09-30,Noroeste,5985.345187523013,13694.94487823484
2003-09-30,Pampeana,6837.050703291003,16847.7848856848
2003-09-30,Patagónica,7088.929189493426,19831.61588979393
2003-12-31,Cuyo,6150.111251619979,16140.693081101388
2003-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2003-12-31,Noreste,6140.8665921384845,14174.984050649698
2003-12-31,Noroeste,5985.345187523013,13694.94487823484
2003-12-31,Pampeana,6837.050703291003,16847.7848856848
2003-12-31,Patagónica,7088.929189493426,19831.61588979393
2004-03-31,Cuyo,6150.111251619979,16140.693081101388
2004-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2004-03-31,Noreste,6140.8665921384845,14174.984050649698
2004-03-31,Noroeste,5985.345187523013,13694.94487823484
2004-03-31,Pampeana,6837.050703291003,16847.7848856848
2004-03-31,Patagónica,7088.929189493426,19831.61588979393
2004-06-30,Cuyo,6150.111251619979,16140.693081101388
2004-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2004-06-30,Noreste,6140.8665921384845,14174.984050649698
2004-06-30,Noroeste,5985.345187523013,13694.94487823484
2004-06-30,Pampeana,6837.050703291003,16847.7848856848
2004-06-30,Patagónica,7088.929189493426,19831.61588979393
2004-09-30,Cuyo,6150.111251619979,16140.693081101388
2004-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2004-09-30,Noreste,6140.8665921384845,14174.984050649698
2004-09-30,Noroeste,5985.345187523013,13694.94487823484
2004-09-30,Pampeana,6837.050703291003,16847.7848856848
2004-09-30,Patagónica,7088.929189493426,19831.61588979393
2004-12-31,Cuyo,6150.111251619979,16140.693081101388
2004-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2004-12-31,Noreste,6140.8665921384845,14174.984050649698
2004-12-31,Noroeste,5985.345187523013,13694.94487823484
2004-12-31,Pampeana,6837.050703291003,16847.7848856848
2004-12-31,Patagónica,7088.929189493426,19831.61588979393
2005-03-31,Cuyo,6150.111251619979,16140.693081101388
2005-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2005-03-31,Noreste,6140.8665921384845,14174.984050649698
2005-03-31,Noroeste,5985.345187523013,13694.94487823484
2005-03-31,Pampeana,6837.050703291003,16847.7848856848
2005-03-31,Patagónica,7088.929189493426,19831.61588979393
2005-06-30,Cuyo,6150.111251619979,16140.693081101388
2005-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2005-06-30,Noreste,6140.8665921384845,14174.984050649698
2005-06-30,Noroeste,5985.345187523013,13694.94487823484
2005-06-30,Pampeana,6837.050703291003,16847.7848856848
2005-06-30,Patagónica,7088.929189493426,19831.61588979393
2005-09-30,Cuyo,6150.111251619979,16140.693081101388
2005-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2005-09-30,Noreste,6140.8665921384845,14174.984050649698
2005-09-30,Noroeste,5985.345187523013,13694.94487823484
2005-09-30,Pampeana,6837.050703291003,16847.7848856848
2005-09-30,Patagónica,7088.929189493426,19831.61588979393
2005-12-31,Cuyo,6150.111251619979,16140.693081101388
2005-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2005-12-31,Noreste,6140.8665921384845,14174.984050649698
2005-12-31,Noroeste,5985.345187523013,13694.94487823484
2005-12-31,Pampeana,6837.050703291003,16847.7848856848
2005-12-31,Patagónica,7088.929189493426,19831.61588979393
2006-03-31,Cuyo,6150.111251619979,16140.693081101388
2006-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2006-03-31,Noreste,6140.8665921384845,14174.984050649698
2006-03-31,Noroeste,5985.345187523013,13694.94487823484
2006-03-31,Pampeana,6837.050703291003,16847.7848856848
2006-03-31,Patagónica,7088.929189493426,19831.61588979393
2006-06-30,Cuyo,6150.111251619979,16140.693081101388
2006-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2006-06-30,Noreste,6140.8665921384845,14174.984050649698
2006-06-30,Noroeste,5985.345187523013,13694.94487823484
2006-06-30,Pampeana,6837.050703291003,16847.7848856848
2006-06-30,Patagónica,7088.929189493426,19831.61588979393
2006-09-30,Cuyo,6150.111251619979,16140.693081101388
2006-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2006-09-30,Noreste,6140.8665921384845,14174.984050649698
2006-09-30,Noroeste,5985.345187523013,13694.94487823484
2006-09-30,Pampeana,6837.050703291003,16847.7848856848
2006-09-30,Patagónica,7088.929189493426,19831.61588979393
2006-12-31,Cuyo,6150.111251619979,16140.693081101388
2006-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2006-12-31,Noreste,6140.8665921384845,14174.984050649698
2006-12-31,Noroeste,5985.345187523013,13694.94487823484
2006-12-31,Pampeana,6837.050703291003,16847.7848856848
2006-12-31,Patagónica,7088.929189493426,19831.61588979393
2007-03-31,Cuyo,6150.111251619979,16140.693081101388
2007-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2007-03-31,Noreste,6140.8665921384845,14174.984050649698
2007-03-31,Noroeste,5985.345187523013,13694.94487823484
2007-03-31,Pampeana,6837.050703291003,16847.7848856848
2007-03-31,Patagónica,7088.929189493426,19831.61588979393
2007-06-30,Cuyo,6150.111251619979,16140.693081101388
2007-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2007-06-30,Noreste,6140.8665921384845,14174.984050649698
2007-06-30,Noroeste,5985.345187523013,13694.94487823484
2007-06-30,Pampeana,6837.050703291003,16847.7848856848
2007-06-30,Patagónica,7088.929189493426,19831.61588979393
2007-09-30,Cuyo,6150.111251619979,16140.693081101388
2007-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2007-09-30,Noreste,6140.8665921384845,14174.984050649698
2007-09-30,Noroeste,5985.345187523013,13694.94487823484
2007-09-30,Pampeana,6837.050703291003,16847.7848856848
2007-09-30,Patagónica,7088.929189493426,19831.61588979393
2007-12-31,Cuyo,6150.111251619979,16140.693081101388
2007-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2007-12-31,Noreste,6140.8665921384845,14174.984050649698
2007-12-31,Noroeste,5985.345187523013,13694.94487823484
2007-12-31,Pampeana,6837.050703291003,16847.7848856848
2007-12-31,Patagónica,7088.929189493426,19831.61588979393
2008-03-31,Cuyo,6150.111251619979,16140.693081101388
2008-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2008-03-31,Noreste,6140.8665921384845,14174.984050649698
2008-03-31,Noroeste,5985.345187523013,13694.94487823484
2008-03-31,Pampeana,6837.050703291003,16847.7848856848
2008-03-31,Patagónica,7088.929189493426,19831.61588979393
2008-06-30,Cuyo,6150.111251619979,16140.693081101388
2008-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2008-06-30,Noreste,6140.8665921384845,14174.984050649698
2008-06-30,Noroeste,5985.345187523013,13694.94487823484
2008-06-30,Pampeana,6837.050703291003,16847.7848856848
2008-06-30,Patagónica,7088.929189493426,19831.61588979393
2008-09-30,Cuyo,6150.111251619979,16140.693081101388
2008-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2008-09-30,Noreste,6140.8665921384845,14174.984050649698
2008-09-30,Noroeste,5985.345187523013,13694.94487823484
2008-09-30,Pampeana,6837.050703291003,16847.7848856848
2008-09-30,Patagónica,7088.929189493426,19831.61588979393
2008-12-31,Cuyo,6150.111251619979,16140.693081101388
2008-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2008-12-31,Noreste,6140.8665921384845,14174.984050649698
2008-12-31,Noroeste,5985.345187523013,13694.94487823484
2008-12-31,Pampeana,6837.050703291003,16847.7848856848
2008-12-31,Patagónica,7088.929189493426,19831.61588979393
2009-03-31,Cuyo,6150.111251619979,16140.693081101388
2009-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2009-03-31,Noreste,6140.8665921384845,14174.984050649698
2009-03-31,Noroeste,5985.345187523013,13694.94487823484
2009-03-31,Pampeana,6837.050703291003,16847.7848856848
2009-03-31,Patagónica,7088.929189493426,19831.61588979393
2009-06-30,Cuyo,6150.111251619979,16140.693081101388
2009-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2009-06-30,Noreste,6140.8665921384845,14174.984050649698
2009-06-30,Noroeste,5985.345187523013,13694.94487823484
2009-06-30,Pampeana,6837.050703291003,16847.7848856848
2009-06-30,Patagónica,7088.929189493426,19831.61588979393
2009-09-30,Cuyo,6150.111251619979,16140.693081101388
2009-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2009-09-30,Noreste,6140.8665921384845,14174.984050649698
2009-09-30,Noroeste,5985.345187523013,13694.94487823484
2009-09-30,Pampeana,6837.050703291003,16847.7848856848
2009-09-30,Patagónica,7088.929189493426,19831.61588979393
2009-12-31,Cuyo,6150.111251619979,16140.693081101388
2009-12-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2009-12-31,Noreste,6140.8665921384845,14174.984050649698
2009-12-31,Noroeste,5985.345187523013,13694.94487823484
2009-12-31,Pampeana,6837.050703291003,16847.7848856848
2009-12-31,Patagónica,7088.929189493426,19831.61588979393
2010-03-31,Cuyo,6150.111251619979,16140.693081101388
2010-03-31,Gran Buenos Aires,6886.283197748141,16971.379762876542
2010-03-31,Noreste,6140.8665921384845,14174.984050649698
2010-03-31,Noroeste,5985.345187523013,13694.94487823484
2010-03-31,Pampeana,6837.050703291003,16847.7848856848
2010-03-31,Patagónica,7088.929189493426,19831.61588979393
2010-06-30,Cuyo,6150.111251619979,16140.693081101388
2010-06-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
2010-06-30,Noreste,6140.8665921384845,14174.984050649698
2010-06-30,Noroeste,5985.345187523013,13694.94487823484
2010-06-30,Pampeana,6837.050703291003,16847.7848856848
2010-06-30,Patagónica,7088.929189493426,19831.61588979393
2010-09-30,Cuyo,6150.111251619979,16140.693081101388
2010-09-30,Gran Buenos Aires,6886.283197748141,16971.379762876542
